Year,COUNTY,ENROLLMENT,DTP#,cnty_vac_rate
2004,AMADOR,323.0,310.0,95.97523219814241
2004,BUTTE,2405.0,2261.0,94.01247401247402
2004,CALAVERAS,473.0,431.0,91.12050739957716
2004,COLUSA,356.0,345.0,96.91011235955057
2004,CONTRA COSTA,13550.0,13140.0,96.97416974169741
2004,DEL NORTE,325.0,308.0,94.76923076923077
2004,EL DORADO,2131.0,1914.0,89.81698732989207
2004,FRESNO,14695.0,14356.0,97.69309288873767
2004,GLENN,448.0,440.0,98.21428571428571
2004,HUMBOLDT,1358.0,1200.0,88.36524300441826
2004,IMPERIAL,2594.0,2509.0,96.72320740169621
2004,INYO,187.0,181.0,96.79144385026738
2004,KERN,12981.0,12440.0,95.8323703874894
2004,KINGS,2409.0,2355.0,97.75840597758406
2004,LAKE,716.0,653.0,91.20111731843575
2004,LASSEN,369.0,324.0,87.8048780487805
2004,LOS ANGELES,139141.0,131726.0,94.67087343054887
2004,LPINE,13.0,10.0,76.92307692307693
2004,MADERA,2224.0,2123.0,95.45863309352518
2004,MARIN,2764.0,2523.0,91.28075253256151
2004,MARIPOSA,137.0,128.0,93.43065693430657
2004,MENDOCINO,959.0,864.0,90.09384775808134
2004,MERCED,4315.0,4215.0,97.68250289687138
2004,MODOC,133.0,124.0,93.23308270676691
2004,MONO,129.0,124.0,96.12403100775194
2004,MONTEREY,5718.0,5541.0,96.90451206715635
2004,NAPA,1562.0,1521.0,97.3751600512164
2004,NEVADA,1039.0,864.0,83.15688161693936
2004,ORANGE,42359.0,40254.0,95.03057201539224
2004,PLACER,4715.0,4386.0,93.02226935312832
2004,PLUMAS,174.0,146.0,83.9080459770115
2004,RIVERSIDE,29251.0,28511.0,97.470171959933
2004,SACRAMENTO,18643.0,17225.0,92.39392801587726
2004,SAN BENITO,951.0,919.0,96.63512092534174
2004,SAN BERNARDINO,31465.0,30588.0,97.21277610042904
2004,SAN DIEGO,39678.0,37957.0,95.66258379958667
2004,SAN FRANCISCO,5859.0,5390.0,91.99522102747909
2004,SAN JOAQUIN,10560.0,10279.0,97.33901515151516
2004,SAN LUIS OBISPO,2435.0,2322.0,95.35934291581108
2004,SAN MATEO,8306.0,7906.0,95.18420418974235
2004,SANTA BARBARA,5441.0,5142.0,94.50468663848557
2004,SANTA CLARA,22861.0,21950.0,96.015047460741
2004,SANTA CRUZ,3022.0,2762.0,91.3964262078094
2004,SHASTA,2086.0,1894.0,90.79578139980825
2004,SIERRA,22.0,22.0,100.0
2004,SISKIYOU,397.0,333.0,83.87909319899244
2004,SOLANO,5358.0,5177.0,96.62187383351997
2004,SONOMA,5773.0,5331.0,92.34366880304867
2004,STANISLAUS,8162.0,7869.0,96.4101935800049
2004,SUTTER,1338.0,1310.0,97.90732436472346
2004,TEHAMA,806.0,767.0,95.16129032258065
2004,TRINITY,95.0,79.0,83.15789473684211
2004,TULARE,7727.0,7529.0,97.4375566196454
2004,TUOLUMNE,529.0,490.0,92.62759924385632
2004,VENTURA,11568.0,10902.0,94.24273858921161
2004,YOLO,2234.0,2152.0,96.3294538943599
2004,YUBA,1054.0,990.0,93.92789373814043
2005,ALAMEDA,17718.0,16848.0,95.08973924822214
2005,AMADOR,314.0,301.0,95.85987261146497
2005,BUTTE,2396.0,2236.0,93.32220367278798
2005,CALAVERAS,454.0,409.0,90.08810572687224
2005,COLUSA,347.0,339.0,97.69452449567724
2005,CONTRA COSTA,14203.0,13729.0,96.66267689924663
2005,DEL NORTE,344.0,326.0,94.76744186046511
2005,EL DORADO,2045.0,1813.0,88.65525672371638
2005,FRESNO,14975.0,14543.0,97.1151919866444
2005,GLENN,431.0,424.0,98.37587006960557
2005,HUMBOLDT,1281.0,1104.0,86.18266978922716
